quarter,epsActual,epsEstimate,epsDifference,surprisePercent,ticker,fetch_date
2025-09-30,0.37,0.42464,-0.05,-0.1287,CSX,2025-12-31 17:01:55.900780
2024-12-31,1.39,1.35763,0.03,0.0238,FIS,2025-12-31 17:01:59.241246
2025-03-31,1.21,1.19748,0.01,0.0105,FIS,2025-12-31 17:01:59.241246
2025-06-30,1.36,1.35879,0.0,0.00090000004,FIS,2025-12-31 17:01:59.241246
2025-09-30,1.51,1.48442,0.03,0.0172,FIS,2025-12-31 17:01:59.241246
2024-12-31,2.09,2.05668,0.03,0.0162,SHW,2025-12-31 17:02:02.603423
2025-03-31,2.25,2.16086,0.09,0.041300002,SHW,2025-12-31 17:02:02.603423
2025-06-30,3.38,3.80599,-0.43,-0.111899994,SHW,2025-12-31 17:02:02.603423
2025-09-30,3.59,3.4394,0.15,0.0438,SHW,2025-12-31 17:02:02.603423
2024-12-31,1.52,1.49055,0.03,0.0198,ICE,2025-12-31 17:02:06.067017
2025-03-31,1.72,1.7032,0.02,0.0099,ICE,2025-12-31 17:02:06.067017
2025-06-30,1.81,1.77007,0.04,0.0226,ICE,2025-12-31 17:02:06.067017
2025-09-30,1.71,1.60658,0.1,0.0644,ICE,2025-12-31 17:02:06.067017
2024-12-31,4.42,4.25212,0.17,0.0395,AON,2025-12-31 17:02:09.543913
2025-03-31,5.67,6.0385,-0.37,-0.061,AON,2025-12-31 17:02:09.543913
2025-06-30,3.49,3.40572,0.08,0.0247,AON,2025-12-31 17:02:09.543913
2025-09-30,3.05,2.91459,0.14,0.0465,AON,2025-12-31 17:02:09.543913
2024-12-31,2.62,2.57933,0.04,0.015800001,MCO,2025-12-31 17:02:12.623628
2025-03-31,3.83,3.53876,0.29,0.08229999,MCO,2025-12-31 17:02:12.623628
2025-06-30,3.56,3.38921,0.17,0.0504,MCO,2025-12-31 17:02:12.623628
2025-09-30,3.92,3.68371,0.24,0.0641,MCO,2025-12-31 17:02:12.623628
