period,avg,low,high,yearAgoEps,numberOfAnalysts,growth,ticker,fetch_date
0y,3.96535,3.86,4.18,3.31,44,0.198,AMD,2025-12-31 16:59:46.381337
+1y,6.45876,5.32,7.92,3.96535,43,0.62880003,AMD,2025-12-31 16:59:46.381337
0q,6.47543,4.85,6.8,7.71,13,-0.1601,LMT,2025-12-31 16:59:50.060849
+1q,7.12143,6.77,8.14,7.28,7,-0.0218,LMT,2025-12-31 16:59:50.060849
0y,22.22831,20.54,23.27,27.99,14,-0.2058,LMT,2025-12-31 16:59:50.060849
+1y,29.2131,26.05,31.36,22.22831,15,0.3142,LMT,2025-12-31 16:59:50.060849
0q,3.68727,3.61,3.92859,3.32,26,0.1106,INTU,2025-12-31 16:59:53.657361
+1q,12.96692,12.59,13.61,11.65,26,0.113000005,INTU,2025-12-31 16:59:53.657361
0y,23.19528,22.69557,24.50087,20.15,32,0.1511,INTU,2025-12-31 16:59:53.657361
+1y,26.39713,25.33,29.18798,23.19528,31,0.138,INTU,2025-12-31 16:59:53.657361
0q,3.56648,3.39,3.76,3.04,22,0.1732,AXP,2025-12-31 16:59:57.123944
+1q,4.00572,3.75,4.26,3.64,18,0.1005,AXP,2025-12-31 16:59:57.123944
0y,15.43392,15.24,15.61,14.01,25,0.1016,AXP,2025-12-31 16:59:57.123944
+1y,17.49009,16.33,18.93,15.43392,26,0.13319999,AXP,2025-12-31 16:59:57.123944
0q,2.24883,2.125,2.42,2.21,26,0.0176,ISRG,2025-12-31 17:00:00.857049
+1q,2.12194,2.02,2.25,1.81,22,0.1723,ISRG,2025-12-31 17:00:00.857049
0y,8.64171,8.35,8.82,7.34,30,0.17729999,ISRG,2025-12-31 17:00:00.857049
+1y,9.74821,8.93,11.23,8.64171,30,0.128,ISRG,2025-12-31 17:00:00.857049
0q,2.10786,1.6337,2.89,3.19,17,-0.3392,DE,2025-12-31 17:00:04.200575
+1q,5.59309,4.98254,7.21,6.64,17,-0.1577,DE,2025-12-31 17:00:04.200575
0y,16.6614,16.04,19.0,18.5,20,-0.0994,DE,2025-12-31 17:00:04.200575
+1y,22.71696,19.0,31.74469,16.6614,20,0.3634,DE,2025-12-31 17:00:04.200575
0q,0.68076,0.53922,0.91,1.37,6,-0.50310004,PLD,2025-12-31 17:00:07.728772
+1q,0.65964,0.58893,0.74,0.63,3,0.047,PLD,2025-12-31 17:00:07.728772
0y,2.6386,2.17503,2.99654,4.01,6,-0.342,PLD,2025-12-31 17:00:07.728772
+1y,2.88412,2.55949,3.22,2.6386,6,0.093,PLD,2025-12-31 17:00:07.728772
0q,11.53898,10.17,12.99,11.95,17,-0.0344,GS,2025-12-31 17:00:11.290899
+1q,14.96365,13.7,16.48,14.12,13,0.059699997,GS,2025-12-31 17:00:11.290899
0y,48.73808,46.61,50.41,40.54,22,0.2022,GS,2025-12-31 17:00:11.290899
+1y,55.29359,47.6,62.0,48.73808,22,0.1345,GS,2025-12-31 17:00:11.290899
0q,0.70019,0.66,0.72,0.65,17,0.077199996,MDLZ,2025-12-31 17:00:14.682076
+1q,0.78533,0.63,0.9,0.74,13,0.061300002,MDLZ,2025-12-31 17:00:14.682076
0y,2.89626,2.86,2.92,3.36,24,-0.138,MDLZ,2025-12-31 17:00:14.682076
+1y,3.14874,3.06,3.29,2.89626,25,0.0872,MDLZ,2025-12-31 17:00:14.682076
0q,1.37259,1.33,1.43,1.23,16,0.1159,TJX,2025-12-31 17:00:18.136509
+1q,1.01795,0.99572,1.06,0.92,10,0.1065,TJX,2025-12-31 17:00:18.136509
0y,4.67144,4.63,4.73,4.26,15,0.096599996,TJX,2025-12-31 17:00:18.136509
+1y,5.13628,5.02049,5.33,4.67144,17,0.0995,TJX,2025-12-31 17:00:18.136509
0q,1.97306,1.92,2.01,1.87,20,0.0551,MMC,2025-12-31 17:00:21.486296
+1q,3.23937,3.16,3.34,3.06,19,0.0586,MMC,2025-12-31 17:00:21.486296
0y,9.60684,9.5,9.71,8.8,22,0.0917,MMC,2025-12-31 17:00:21.486296
+1y,10.32307,10.0,10.52,9.60684,22,0.0746,MMC,2025-12-31 17:00:21.486296
0q,2.56158,2.33611,2.64,2.35,13,0.09,ADP,2025-12-31 17:00:25.060764
+1q,3.27173,2.9271,3.37,3.06,13,0.0692,ADP,2025-12-31 17:00:25.060764
0y,10.91427,10.67226,11.0,10.01,16,0.090299994,ADP,2025-12-31 17:00:25.060764
+1y,11.9453,11.41,12.4,10.91427,16,0.0945,ADP,2025-12-31 17:00:25.060764
0q,48.21801,43.76,53.37,41.55,24,0.16049999,BKNG,2025-12-31 17:00:28.476587
+1q,30.05433,25.7,34.59,24.81,17,0.21139999,BKNG,2025-12-31 17:00:28.476587
0y,228.48,220.02525,269.2,187.1,31,0.2212,BKNG,2025-12-31 17:00:28.476587
+1y,265.39246,240.69,282.30536,228.48,30,0.1616,BKNG,2025-12-31 17:00:28.476587
0q,4.39247,4.34,4.43,4.01,24,0.0954,SYK,2025-12-31 17:00:32.024529
+1q,3.06065,2.85,3.49,2.84,21,0.0777,SYK,2025-12-31 17:00:32.024529
0y,13.55216,13.46,13.60339,12.19,29,0.1117,SYK,2025-12-31 17:00:32.024529
+1y,14.94274,13.94,15.43,13.55216,28,0.1026,SYK,2025-12-31 17:00:32.024529
0q,1.88946,1.75,2.16,1.9,21,-0.0055,GILD,2025-12-31 17:00:35.332134
+1q,2.0275,1.85,2.19,1.81,8,0.12020001,GILD,2025-12-31 17:00:35.332134
0y,8.16126,8.05,8.43,4.62,28,0.7665,GILD,2025-12-31 17:00:35.332134
+1y,8.74513,6.38,9.95,8.16126,28,0.0715,GILD,2025-12-31 17:00:35.332134
0q,2.29435,2.14,2.39402,1.63,27,0.4076,ADI,2025-12-31 17:00:38.797681
+1q,2.42223,2.23,2.59494,1.85,26,0.3093,ADI,2025-12-31 17:00:38.797681
0y,9.8894,9.0,10.51782,7.79,30,0.26950002,ADI,2025-12-31 17:00:38.797681
+1y,11.23879,10.48,12.61465,9.8894,27,0.1364,ADI,2025-12-31 17:00:38.797681
0q,0.99072,0.93,1.04,1.19,23,-0.1675,CVS,2025-12-31 17:00:42.131672
+1q,2.25715,2.11,2.4719,2.25,19,0.0032,CVS,2025-12-31 17:00:42.131672
0y,6.65479,6.6,6.7,5.42,27,0.22780001,CVS,2025-12-31 17:00:42.131672
